Filename,IonIndex,X,Y
image14_1.tif,1,250,110.46842962916928
image14_1.tif,2,342,110.05978752443683
image14_1.tif,3,420,109.12040249370959
image14_1.tif,4,488,111.87852938355724
image14_1.tif,5,551,104.54320723248233
image14_1.tif,6,606,115.4268527644181
image14_1.tif,7,657,101.11627617329121
image14_1.tif,8,702,115.44011179026043
image14_1.tif,9,750,100.67884830256203
image14_1.tif,10,794,115.5734339898524
image14_1.tif,11,840,99.28989734903672
image14_1.tif,12,883,115.34347215732762
image14_1.tif,13,926,99.00579170773952
image14_1.tif,14,971,114.50089642790361
image14_1.tif,15,1016,97.97958970080727
image14_1.tif,16,1060,113.80818418524373
image14_1.tif,17,1106,97.69555478864265
image14_1.tif,18,1152,112.74907930377773
image14_1.tif,19,1203,97.10189267390811
image14_1.tif,20,1250,110.88655361359606
image14_1.tif,21,1305,99.25262511212519
image14_1.tif,22,1369,105.33081202549644
image14_1.tif,23,1438,102.01036822775839
image14_1.tif,24,1516,102.18660570245954
image14_1.tif,25,1612,100.48843320393131
image14_2.tif,1,245,110.43503512818353
image14_2.tif,2,339,110.67526486470507
image14_2.tif,3,415,109.36574862555818
image14_2.tif,4,484,112.52084623533447
image14_2.tif,5,547,104.95963116465803
image14_2.tif,6,602,115.87552595393802
image14_2.tif,7,650,101.26931848695115
image14_2.tif,8,698,116.3074407118652
image14_2.tif,9,744,100.85682864957887
image14_2.tif,10,790,115.73699178459702
image14_2.tif,11,837,100.21055525544018
image14_2.tif,12,879,115.83809611042074
image14_2.tif,13,924,99.78651716017073
image14_2.tif,14,966,114.98879672599222
image14_2.tif,15,1012,98.15720863279486
image14_2.tif,16,1055,114.41575445086688
image14_2.tif,17,1104,98.54133469072728
image14_2.tif,18,1148,112.90373413587835
image14_2.tif,19,1195,97.85757059926489
image14_2.tif,20,1245,111.42562715633166
image14_2.tif,21,1300,99.75289103539879
image14_2.tif,22,1364,105.90701582126832
image14_2.tif,23,1434,102.78923470693006
image14_2.tif,24,1512,102.52228224114607
image14_2.tif,25,1606,101.12818720396302
image14_3.tif,1,244,110.18972906224984
image14_3.tif,2,338,109.90380346230948
image14_3.tif,3,414,109.93410102863527
image14_3.tif,4,484,107.40625702537815
image14_3.tif,5,546,113.5565728109103
image14_3.tif,6,601,101.94795081527394
image14_3.tif,7,649,116.36754198894475
image14_3.tif,8,698,100.4352838860056
image14_3.tif,9,744,116.04774747700641
image14_3.tif,10,790,101.4134740329973
image14_3.tif,11,834,107.39811956907926
image14_3.tif,12,877,124.50321827323654
image14_3.tif,13,920,84.33356128814525
image14_3.tif,14,964,127.09092208238036
image14_3.tif,15,1007,94.95158828785961
image14_3.tif,16,1051,113.25137822934013
image14_3.tif,17,1100,98.87965865097485
image14_3.tif,18,1145,112.13085665394091
image14_3.tif,19,1193,97.06247027216502
image14_3.tif,20,1242,111.54752403488177
image14_3.tif,21,1297,99.14367732526256
image14_3.tif,22,1361,105.22893151499525
image14_3.tif,23,1431,101.83368690067547
image14_3.tif,24,1509,101.89203521849983
image14_3.tif,25,1604,100.27809322046343
image14_4.tif,1,243,110.37734947352654
image14_4.tif,2,336,110.26602542433106
image14_4.tif,3,413,110.77330046663167
image14_4.tif,4,483,107.2665006018854
image14_4.tif,5,545,114.4559985670361
image14_4.tif,6,600,102.40101970659072
image14_4.tif,7,647,116.27715122185685
image14_4.tif,8,695,101.13945913541431
image14_4.tif,9,742,115.8999875062763
image14_4.tif,10,788,100.16656315849217
image14_4.tif,11,831,115.27768678967445
image14_4.tif,12,878,99.94673555979507
image14_4.tif,13,920,115.7977456061711
image14_4.tif,14,965,98.54827105671178
image14_4.tif,15,1008,114.5254467716316
image14_4.tif,16,1053,98.07818522226735
image14_4.tif,17,1098,113.7950471744278
image14_4.tif,18,1146,97.92529628482005
image14_4.tif,19,1193,112.38844155378962
image14_4.tif,20,1242,97.59389620611482
image14_4.tif,21,1298,108.55118632018757
image14_4.tif,22,1361,101.11325748598632
image14_4.tif,23,1431,103.71329459367557
image14_4.tif,24,1509,102.08649170891172
image14_4.tif,25,1604,100.56921098071822
image14_5.tif,1,243,110.17831112115016
image14_5.tif,2,336,109.73615279373956
image14_5.tif,3,413,110.20304564675287
image14_5.tif,4,482,107.04093781468023
image14_5.tif,5,544,113.7788574606279
image14_5.tif,6,600,102.16366428657793
image14_5.tif,7,647,115.54080617276705
image14_5.tif,8,697,101.10239853294946
image14_5.tif,9,742,114.75543618847213
image14_5.tif,10,789,99.2243955146505
image14_5.tif,11,832,121.62051665471198
image14_5.tif,12,875,85.60774031168705
image14_5.tif,13,919,126.86404293827785
image14_5.tif,14,963,97.59690025452184
image14_5.tif,15,1006,101.15488308969319
image14_5.tif,16,1050,113.60243058648045
image14_5.tif,17,1096,96.92300394699589
image14_5.tif,18,1142,112.9970535063449
image14_5.tif,19,1193,97.37484131760353
image14_5.tif,20,1241,111.08096338321256
image14_5.tif,21,1296,99.1166689018288
image14_5.tif,22,1358,104.74089115736477
image14_5.tif,23,1430,102.03457562924952
image14_5.tif,24,1507,101.72121571200734
image14_5.tif,25,1602,100.76418885929601
image14_6.tif,1,242,109.56168069075368
image14_6.tif,2,336,109.85225237016404
image14_6.tif,3,412,110.27925765162104
image14_6.tif,4,482,107.05868099834899
image14_6.tif,5,543,114.19158674782355
image14_6.tif,6,598,101.9029838228281
image14_6.tif,7,646,116.17904784052108
image14_6.tif,8,697,100.85980886587082
image14_6.tif,9,741,115.22027024111891
image14_6.tif,10,789,99.98149834584164
image14_6.tif,11,831,114.96902596990857
image14_6.tif,12,876,98.91575510299079
image14_6.tif,13,919,114.94503481528182
image14_6.tif,14,967,98.14369577685316
image14_6.tif,15,1008,113.9094493828263
image14_6.tif,16,1051,97.36072206183
image14_6.tif,17,1098,113.33672530371483
image14_6.tif,18,1144,97.18135417495202
image14_6.tif,19,1192,111.68337445909266
image14_6.tif,20,1241,97.37959520513472
image14_6.tif,21,1296,108.44774992286682
image14_6.tif,22,1359,100.61332584487204
image14_6.tif,23,1430,103.13409241487611
image14_6.tif,24,1508,101.33913372180719
image14_6.tif,25,1603,100.50291379054384
image14_7.tif,1,242,110.5553192332592
image14_7.tif,2,335,109.98233510972851
image14_7.tif,3,413,110.59106668647391
image14_7.tif,4,482,107.12017603762504
image14_7.tif,5,544,114.1873159904713
image14_7.tif,6,600,102.43467592633064
image14_7.tif,7,647,115.84150765970077
image14_7.tif,8,696,100.82631766161245
image14_7.tif,9,740,115.91730719032734
image14_7.tif,10,789,99.72699684755808
image14_7.tif,11,831,115.771270034707
image14_7.tif,12,879,99.07149067904317
image14_7.tif,13,919,114.89886848430719
image14_7.tif,14,964,98.77503380880832
image14_7.tif,15,1007,114.314487874691
image14_7.tif,16,1053,98.08126268702992
image14_7.tif,17,1098,113.34202503675705
image14_7.tif,18,1144,97.86612373035805
image14_7.tif,19,1193,112.06883627660619
image14_7.tif,20,1241,97.48275239282118
image14_7.tif,21,1297,109.09197888769627
image14_7.tif,22,1360,101.15364130360683
image14_7.tif,23,1430,103.91389558842432
image14_7.tif,24,1508,101.79924896997362
image14_7.tif,25,1603,101.15335695157358
image14_8.tif,1,243,109.71214810013832
image14_8.tif,2,335,109.28490750671644
image14_8.tif,3,413,109.76940375449695
image14_8.tif,4,482,106.34680133170107
image14_8.tif,5,544,112.99803720844584
image14_8.tif,6,601,101.53115137211944
image14_8.tif,7,647,115.16501035282631
image14_8.tif,8,697,100.19613556507433
image14_8.tif,9,742,114.4476258048149
image14_8.tif,10,790,99.23557848588393
image14_8.tif,11,831,114.83389659373718
image14_8.tif,12,877,98.43160101477034
image14_8.tif,13,919,114.34925600393763
image14_8.tif,14,967,97.83246655803045
image14_8.tif,15,1008,113.35390169125462
image14_8.tif,16,1053,97.40280509775674
image14_8.tif,17,1097,112.62618863103435
image14_8.tif,18,1144,96.99866984476067
image14_8.tif,19,1193,110.96492322509464
image14_8.tif,20,1241,96.58649791959826
image14_8.tif,21,1297,107.98902761197647
image14_8.tif,22,1359,100.14890255437601
image14_8.tif,23,1430,102.55673625639824
image14_8.tif,24,1508,100.95061579268969
image14_8.tif,25,1603,100.0895012797135
image14_9.tif,1,243,110.26696139699236
image14_9.tif,2,335,109.81379426924357
image14_9.tif,3,413,109.00971462860757
image14_9.tif,4,481,112.00586731601194
image14_9.tif,5,543,104.06827870763071
image14_9.tif,6,598,115.66395824194302
image14_9.tif,7,649,100.82972867050113
image14_9.tif,8,694,115.84399699819903
image14_9.tif,9,741,100.26711188256274
image14_9.tif,10,786,114.94968434607907
image14_9.tif,11,831,99.6795744691857
image14_9.tif,12,874,115.18617147676984
image14_9.tif,13,921,99.08389797915484
image14_9.tif,14,962,114.30831033441578
image14_9.tif,15,1009,98.2546498982374
image14_9.tif,16,1052,113.54017888792136
image14_9.tif,17,1097,98.12834317536422
image14_9.tif,18,1144,112.77267272484153
image14_9.tif,19,1192,97.17603613074344
image14_9.tif,20,1241,110.65050728162034
image14_9.tif,21,1296,99.19580557916963
image14_9.tif,22,1359,105.34297271114632
image14_9.tif,23,1429,101.92342906754565
image14_9.tif,24,1508,101.97647185690421
image14_9.tif,25,1602,100.63351575211188
image14_10.tif,1,242,109.38626021444661
image14_10.tif,2,335,109.34670358912041
image14_10.tif,3,413,109.73318665415923
image14_10.tif,4,482,106.7531292331689
image14_10.tif,5,544,113.57066497575336
image14_10.tif,6,599,101.33141767056038
image14_10.tif,7,647,115.20618679724566
image14_10.tif,8,696,101.16655071087477
image14_10.tif,9,742,114.75207775078808
image14_10.tif,10,789,98.41353027510425
image14_10.tif,11,831,121.93382851692348
image14_10.tif,12,875,86.78623399086253
image14_10.tif,13,919,125.25785332425697
image14_10.tif,14,962,103.83036730883182
image14_10.tif,15,1008,101.11802475648453
image14_10.tif,16,1049,112.46565694720535
image14_10.tif,17,1097,97.17857631130822
image14_10.tif,18,1142,112.320174030707
image14_10.tif,19,1191,96.44899124626158
image14_10.tif,20,1241,110.85533870112067
image14_10.tif,21,1295,98.62847955119858
image14_10.tif,22,1359,104.65794504609896
image14_10.tif,23,1428,101.93241287527096
image14_10.tif,24,1507,101.13275846416506
image14_10.tif,25,1601,99.84943607404021
